"Source","Add Block Comment","Ctrl+Shift+/","Editing JavaScript Source"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing JavaScript Source"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","Alt+E","Terminal widget context"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"ASA 9.x table schema editor","Paste","Alt+V","In Windows"
"Visual Page Editor","Maximize/Restore Visual Part","Alt+Shift+F6","Visual Page Editor"
"Run/Debug","Run Maven Build","Alt+Shift+X, M","In Windows"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows"
"Database Tools","Execute All","Ctrl+Alt+X","Editing SQL"
"Visual Page Editor","Refresh","F5","Visual Page Editor"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"File","Close","Ctrl+F4","In Windows"
"Source","Select Enclosing Element","Alt+Shift+Up","Editing Xtext Source"
"ZK Commands","Toggle ZScript Comment","Ctrl+/","Editing ZUL Source"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Database Tools","Execute Selected Text","Alt+X","Editing SQL"
"File","Properties","Alt+Enter","In Windows"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows"
"File","New menu","Alt+Shift+N","In Windows"
"Spy","Plug-in Selection Spy","Alt+Shift+F1","In Dialogs and Windows"
"Run/Debug","Run OSGi Framework","Alt+Shift+X, O","In Windows"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"ASA 9.x table schema editor","Copy","Alt+C","In Windows"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing JavaScript Source"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows"
"View","Zoom In","Ctrl+=","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing JavaScript Source"
"Database Tools","Debug","Ctrl+Alt+D","Editing SQL"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Navigate","Open Seam Component","Ctrl+Shift+Z","In Windows"
"Task","Open Selected Task","Ctrl+Enter","In Tasks View"
"Project","Build All","Ctrl+B","In Windows"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","JavaScript View"
"Visual Page Editor","Maximize/Restore Source Part","Shift+F6","Visual Page Editor"
"Source","Format","Ctrl+Shift+F","Editing JavaScript Source"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Window","Next View","Ctrl+F7","In Windows"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows"
"Terminal view commands","Terminal view insert","Alt+R","Terminal widget context"
"Views","Show View ()","Alt+Shift+Q, J","JavaScript View"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"Task","Mark Task Complete","Alt+Shift+C","In Tasks Editor"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing JavaScript Source"
"Task","Mark Task Incomplete","Alt+Shift+I","In Tasks Editor"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing JavaScript Source"
"Uncategorized","Full Publish","Alt+Shift+Y, F","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing JavaScript Source"
"Views","Show View (Task List)","Alt+Shift+Q, K","In Windows"
"Git","Commit...","Ctrl+#","In Windows"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"Source","Surround With Quick Menu","Alt+Shift+Z","JavaScript View"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"File","Save","Ctrl+S","In Windows"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"Terminal view commands","Terminal view insert","Alt+F","Terminal widget context"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing JavaScript Source"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Run/Debug","Run Last Launched","Ctrl+F11","In Windows"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Edit","Delete","Delete","In Windows"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+A","Terminal widget context"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"Source","Show Source Quick Menu","Alt+Shift+S","JavaScript View"
"Run/Debug","Run on Server","Alt+Shift+X, R","In Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Refactor - JavaScript","Show Refactor Quick Menu","Alt+Shift+T","JavaScript View"
"Server","Debug","Ctrl+Alt+D","In Servers View"
"Source","Generate Getters and Setters","Alt+G","In Windows"
"ZK Commands","ZK Welcome Page","Ctrl+Shift+Z","In Windows"
"Web Page Editor Layout","Source Code","Ctrl+Shift+F12","Using Web Page Editor"
"Source","Restore Last Selection","Alt+Shift+Down","Editing Xtext Source"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"Source","Organize Imports","Ctrl+Shift+O","JavaScript View"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors"
"Navigate","Backward History","Alt+Left","In Windows"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Run/Debug","Step Return","F7","Debugging"
"ASA 9.x table schema editor","Cut","Alt+X","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Xtext Source"
"Text Editing","Line Start","Home","Editing Text"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Database Tools","Execute Current Text","Alt+S","Editing SQL"
"Visual Page Editor","Jump","Ctrl+Shift+Tab","Visual Page Editor"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"Projects","Build Project Archives","Alt+Shift+Y, B","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Server","Publish","Ctrl+Alt+P","In Servers View"
"Refactor - Java","Rename - Refactoring ","Ctrl+Alt+R","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"SQL Results View","Remove Result","Ctrl+Delete","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Task","Mark Task Unread","Alt+Shift+U","In Tasks View"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"Navigate","Open Maven POM","Alt+Shift+P","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"JavaScript Debug","Evaluate","Alt+Shift+E","Editing JavaScript Source"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing JavaScript Source"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"CSS Dialog","Open CSS Dialog","Ctrl+Shift+C","Editing CSS Source"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Database Tools","Edit in SQL Query Builder...","Alt+Q","Editing SQL"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Focused UI","Show Context Quick View","Ctrl+Alt+Shift+Right","In Windows"
"Terminal view commands","Terminal view insert","Alt+N","Terminal widget context"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Refactor - JavaScript","Change Function Signature","Alt+Shift+C","JavaScript View"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Web Page Editor Layout","Horizontal Layout","Ctrl+Shift+F10","Using Web Page Editor"
"Search","Find Seam References","Ctrl+Shift+G","Editing in Structured Text Editors"
"Views","Show View ()","Alt+Shift+Q, D","In Windows"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Source","Override/Implement Methods","Alt+O","In Windows"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor"
"Source","Toggle Comment","Ctrl+Shift+C","Editing JavaScript Source"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Source","Go to Matching Bracket","Ctrl+Shift+P","Editing Xtext Source"
"Source","Select Previous Element","Alt+Shift+Left","Editing Xtext Source"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Task","Mark Task Read and Go To Next Unread Task","Alt+Shift+Down","In Tasks View"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Run/Debug","Debug on Server","Alt+Shift+D, R","In Windows"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Terminal view commands","Terminal view insert","Alt+H","Terminal widget context"
"Terminal view commands","Terminal view insert","Alt+P","Terminal widget context"
"Window","Open Model Element","Ctrl+Shift+F3","In Windows"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"SQL Results View","Terminate Result","Ctrl+Break","In Windows"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Views","Show View (Script Explorer)","Alt+Shift+Q, P","JavaScript View"
"Terminal view commands","Terminal view insert","Alt+S","Terminal widget context"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"File","Refresh","F5","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Xtext Source"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
