PAIS;POSTO_APLICADOR;NU_INSCRICAO;NOTA_ENTREVISTADOR;NOTA_OBSERVADOR;NOTA_FINAL;DISCREPANCIA;SITUACAO
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003777;3;1,83;2,415;1,17;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301004377;4;4,58;4,29;0,58;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003272;4;3,79;3,895;0,21;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002852;4;3,87;3,935;0,13;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301004163;3;3,08;3,04;0,08;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002104;0;0;0;0;Ausente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301000834;0;0;0;0;Ausente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002863;3;3,17;3,085;0,17;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003210;0;0;0;0;Ausente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301001851;3;3,08;3,04;0,08;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301001506;3;2,54;2,77;0,46;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003770;3;2,75;2,875;0,25;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003512;3;3,58;3,29;0,58;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003552;4;3,5;3,75;0,5;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003599;3;2,75;2,875;0,25;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002050;4;3,58;3,79;0,42;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003947;4;4,17;4,085;0,17;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003416;3;2,62;2,81;0,38;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003375;2;2;2;0;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002908;3;3,33;3,165;0,33;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003135;4;3,41;3,705;0,59;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301000945;4;3,58;3,79;0,42;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003533;3;3,54;3,27;0,54;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002882;5;4,79;4,895;0,21;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002946;3;3,17;3,085;0,17;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003358;4;3,54;3,77;0,46;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301000990;2;2,25;2,125;0,25;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003236;3;3,58;3,29;0,58;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301004146;3;4,5;3,75;1,5;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002724;3;3,33;3,165;0,33;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002152;4;3,91;3,955;0,09;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003074;4;3,71;3,855;0,29;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002879;3;4,41;3,705;1,41;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003737;2;2,08;2,04;0,08;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301000471;3;3,17;3,085;0,17;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003510;4;4;4;0;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003376;3;3,17;3,085;0,17;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002698;3;3;3;0;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301000950;1;1,67;1,335;0,67;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002183;4;4,62;4,31;0,62;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002848;2;1,79;1,895;0,21;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301004187;2;2,12;2,06;0,12;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301004492;2;2,5;2,25;0,5;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301000375;3;3,5;3,25;0,5;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002618;3;2,79;2,895;0,21;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003511;2;2,33;2,165;0,33;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002056;4;4,25;4,125;0,25;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002213;5;4,79;4,895;0,21;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301004476;2;2,79;2,395;0,79;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301000965;4;4,62;4,31;0,62;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002741;5;5;5;0;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301000933;2;2;2;0;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301001277;5;4,79;4,895;0,21;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301004456;3;3,67;3,335;0,67;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301001014;4;4,17;4,085;0,17;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301004093;3;3,41;3,205;0,41;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301004101;0;0;0;0;Ausente
