"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows"
"Database Tools","Edit in SQL Query Builder...","Alt+Q","Editing SQL"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"Database Tools","Run","Ctrl+Alt+R","Editing SQL"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Navigate","Open Maven POM","Alt+Shift+P","In Windows"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Source","Generate Getters and Setters","Alt+G","Editing Java Source"
"Navigate","Open Declaration","F3","In Windows"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Alt+Shift+Up","In Tasks View"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Refactor - JavaScript","Change Function Signature","Alt+Shift+C","JavaScript View"
"Window","Activate Editor","F12","In Windows"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Terminal view commands","Terminal view insert","Alt+V","Terminal widget context"
"Navigate","Next Page","Ctrl+F5","Using Web Page Editor"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+A","Terminal widget context"
"Run/Debug","Remote Java Application...","Alt+Shift+D, D","In Windows"
"Spy","Plug-in Menu Spy","Alt+Shift+F2","In Dialogs and Windows"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Refactor - JavaScript","Move - Refactoring ","Alt+Shift+V","JavaScript View"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Uncategorized","Full Publish","Alt+Shift+Y, F","In Windows"
"Refactor - Java","Rename - Refactoring ","Ctrl+Alt+R","In Windows"
"Edit","Remove Block Comment","Ctrl+Shift+\","Editing in Structured Text Editors"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows"
"Terminal view commands","Terminal view insert","Alt+P","Terminal widget context"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"File","Close","Ctrl+F4","In Windows"
"View","Zoom In","Ctrl++","In Windows"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors"
"Navigate","Next Page","Alt+F7","In Windows"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Web Page Editor Layout","Vertical Layout","Ctrl+Shift+F9","Using Web Page Editor"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Refactor - JavaScript","Show Refactor Quick Menu","Alt+Shift+T","JavaScript View"
"Views","JavaScript Type Hierarchy","Alt+Shift+Q, T","JavaScript View"
"Window","Forge Command List","Ctrl+4","In Windows"
"File","Register As Service","Ctrl+Shift+F10","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Web Page Editor Layout","Graphical Designer","Ctrl+Shift+F11","Using Web Page Editor"
"Edit","Toggle Comment","Ctrl+/","Editing SQL"
"Run/Debug","Debug on Server","Alt+Shift+D, R","In Windows"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Source","Show Source Quick Menu","Alt+Shift+S","JavaScript View"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"File","Close All","Ctrl+Shift+W","In Windows"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing JavaScript Source"
"Search","Find Seam References","Ctrl+Shift+G","Editing in Structured Text Editors"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Run/Debug","Run on Server","Alt+Shift+X, R","In Windows"
"ASA 9.x table schema editor","Cut","Alt+X","In Windows"
"Navigate","Next Page","Ctrl+F5","In Faces Config Editor"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing JavaScript Source"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors"
"Edit","Rename","Alt+Shift+R","Editing JSP Source"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"File","New menu","Alt+Shift+N","In Windows"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"Views","Show View (Task List)","Alt+Shift+Q, K","In Windows"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks View"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Visual Page Editor Category","Toggle selection tag bar","Ctrl+6","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
